model,dataset,n_pairs,spearman,task,score
glove-avg,STS12,3108,57.25,sts,
glove-avg,STS13,1500,53.79,sts,
glove-avg,STS14,3750,52.0,sts,
glove-avg,STS15,3000,59.7,sts,
glove-avg,STS16,1186,49.83,sts,
glove-avg,STS-B,1379,47.37,sts,
glove-avg,SICK-R,9927,57.21,sts,
glove-avg,Avg,23850,53.88,sts,
bert-mean,STS12,3108,30.87,sts,
bert-mean,STS13,1500,59.89,sts,
bert-mean,STS14,3750,47.73,sts,
bert-mean,STS15,3000,60.29,sts,
bert-mean,STS16,1186,63.73,sts,
bert-mean,STS-B,1379,47.29,sts,
bert-mean,SICK-R,9927,58.65,sts,
bert-mean,Avg,23850,52.64,sts,
bert-cls,STS12,3108,21.54,sts,
bert-cls,STS13,1500,32.11,sts,
bert-cls,STS14,3750,21.28,sts,
bert-cls,STS15,3000,37.89,sts,
bert-cls,STS16,1186,44.24,sts,
bert-cls,STS-B,1379,20.3,sts,
bert-cls,SICK-R,9927,42.74,sts,
bert-cls,Avg,23850,31.44,sts,
tfidf,recall@10,26,,retrieval,46.01
glove-avg,recall@10,26,,retrieval,37.43
bert-mean,recall@10,26,,retrieval,27.88
tfidf,max_possible_recall@10,26,,retrieval,71.84
glove-avg,max_possible_recall@10,26,,retrieval,71.84
bert-mean,max_possible_recall@10,26,,retrieval,71.84
tfidf,precision@10,26,,retrieval,65.0
glove-avg,precision@10,26,,retrieval,58.85
bert-mean,precision@10,26,,retrieval,43.46
tfidf,mrr,26,,retrieval,85.71
glove-avg,mrr,26,,retrieval,78.22
bert-mean,mrr,26,,retrieval,74.1
